repo,month,PushEvent,PullRequestReviewCommentEvent,PullRequestEvent,PullRequestReviewEvent,CreateEvent,IssueCommentEvent,DeleteEvent,IssuesEvent,ForkEvent,total
LFDT-Lockness/cggmp21,2024-09,9,2,5,2,6,2,1,1,0,28
LFDT-Lockness/cggmp21,2024-10,10,1,4,1,6,5,3,0,0,30
LFDT-Lockness/cggmp21,2024-11,10,3,3,2,2,0,1,0,0,21
LFDT-Lockness/cggmp21,2024-12,20,3,10,3,10,6,5,0,0,57
LFDT-Lockness/cggmp21,2025-01,8,27,1,19,1,11,0,0,0,67
LFDT-Lockness/cggmp21,2025-02,14,9,1,6,0,7,1,1,0,39
LFDT-Lockness/cggmp21,2025-03,1,1,3,1,1,8,0,0,0,15
LFDT-Lockness/cggmp21,2025-04,6,0,5,0,3,9,0,0,0,23
LFDT-Lockness/cggmp21,2025-05,8,2,3,2,1,6,4,0,0,26
LFDT-Lockness/cggmp21,2025-06,8,0,3,1,3,4,1,0,0,20
LFDT-Lockness/cggmp21,2025-07,6,11,1,7,0,3,1,0,0,29
LFDT-Lockness/cggmp21,2025-08,6,6,2,11,2,3,2,0,0,32
LFDT-Lockness/cggmp21,2025-09,1,0,1,1,0,4,0,2,0,9
LFDT-Lockness/cggmp21,2025-11,3,0,0,1,1,0,1,0,0,6
LFDT-Lockness/cggmp21,2025-12,0,0,0,0,0,1,0,0,0,1
LFDT-Lockness/cggmp21,2026-01,0,0,0,0,0,1,0,0,0,1
LFDT-Lockness/cggmp21,2026-02,0,0,0,0,0,1,0,0,0,1
LFDT-Lockness/cggmp21,2026-03,4,0,0,0,0,0,1,0,0,5
LFDT-Lockness/cggmp21,2026-04,2,0,0,0,1,1,0,0,0,4
LFDT-Lockness/cggmp21,2026-05,2,0,0,0,1,0,2,0,0,5
LFDT-Lockness/generic-ec,2024-09,2,0,2,0,4,0,1,0,0,9
LFDT-Lockness/generic-ec,2024-10,2,0,3,1,2,0,2,0,0,10
LFDT-Lockness/generic-ec,2024-12,3,8,1,7,2,8,0,0,0,29
LFDT-Lockness/generic-ec,2025-01,7,16,4,15,7,8,3,0,0,60
LFDT-Lockness/generic-ec,2025-02,3,0,1,0,0,2,1,0,0,7
LFDT-Lockness/generic-ec,2026-03,1,0,0,0,1,0,0,0,0,2
LFDT-Lockness/generic-ec,2026-05,0,0,0,0,1,0,0,0,0,1
LFDT-Lockness/hd-wallet,2024-10,22,5,9,5,7,3,5,0,0,56
LFDT-Lockness/hd-wallet,2024-11,5,8,1,8,1,0,0,0,0,23
LFDT-Lockness/hd-wallet,2024-12,8,2,6,2,3,1,3,0,0,25
LFDT-Lockness/hd-wallet,2025-01,0,0,1,0,1,0,1,0,0,3
LFDT-Lockness/hd-wallet,2025-11,0,0,0,0,0,1,0,0,0,1
LFDT-Lockness/hd-wallet,2026-03,2,0,0,0,0,0,0,0,0,2
LFDT-Lockness/hd-wallet,2026-05,1,0,0,0,1,0,0,0,0,2
LFDT-Lockness/round-based,2024-09,4,0,0,0,2,0,1,0,0,7
LFDT-Lockness/round-based,2024-10,3,0,4,0,2,0,2,0,0,11
LFDT-Lockness/round-based,2024-11,11,4,1,5,1,2,0,0,0,24
