repo,month,PullRequestEvent,PushEvent,CreateEvent,IssueCommentEvent,DeleteEvent,PullRequestReviewEvent,IssuesEvent,ForkEvent,PullRequestReviewCommentEvent,MemberEvent,GollumEvent,CommitCommentEvent,DiscussionEvent,ReleaseEvent,WatchEvent,total
hyperledger/governance,2022-06,0,1,0,6,0,0,3,0,0,0,0,0,0,0,0,10
hyperledger/governance,2022-07,0,5,1,5,0,0,4,0,0,0,0,0,0,0,0,15
hyperledger/governance,2022-08,0,5,0,14,0,0,5,0,0,0,0,0,0,0,0,24
hyperledger/governance,2022-10,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
hyperledger/governance,2022-11,0,4,0,12,0,0,4,0,0,0,0,0,0,0,0,20
hyperledger/governance,2022-12,0,0,0,6,0,0,22,0,0,0,0,0,0,0,0,28
hyperledger/governance,2023-01,0,0,0,8,0,0,9,0,0,0,0,0,0,0,0,17
hyperledger/governance,2023-02,0,1,0,14,0,0,9,0,0,0,0,0,0,0,0,24
hyperledger/governance,2023-03,0,1,0,8,0,0,5,0,0,0,0,0,0,0,0,14
hyperledger/governance,2023-04,0,0,0,2,0,0,3,0,0,0,0,0,0,0,0,5
hyperledger/governance,2023-05,0,0,0,11,0,0,10,0,0,0,0,0,0,0,0,21
hyperledger/governance,2023-06,0,0,0,8,0,0,5,0,0,0,0,0,0,0,0,13
hyperledger/governance,2023-07,0,1,0,9,0,0,8,0,0,0,0,0,0,0,0,18
hyperledger/governance,2023-08,0,1,1,9,0,0,8,0,0,0,0,0,0,0,0,19
hyperledger/governance,2023-09,0,0,0,6,0,0,6,0,0,0,0,0,0,0,0,12
hyperledger/governance,2023-10,0,1,0,8,0,0,9,0,0,0,0,0,0,0,0,18
hyperledger/governance,2023-11,0,0,0,15,0,0,25,0,0,0,0,0,0,0,0,40
hyperledger/governance,2023-12,0,0,0,3,0,0,2,0,0,0,0,0,0,0,0,5
hyperledger/governance,2024-01,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,8
hyperledger/governance,2024-02,0,0,0,5,0,0,4,0,0,0,0,0,0,0,0,9
hyperledger/governance,2024-03,34,27,17,8,18,0,6,0,0,0,0,0,0,0,0,110
hyperledger/governance,2024-04,29,25,10,13,10,8,11,0,0,0,0,0,0,0,0,106
hyperledger/governance,2024-05,12,9,4,3,5,3,4,1,1,0,0,0,0,0,0,42
hyperledger/governance,2024-06,23,17,5,6,7,2,5,0,0,0,0,0,0,0,0,65
hyperledger/governance,2024-07,17,16,2,10,2,5,5,0,0,0,0,0,0,0,0,57
hyperledger/governance,2024-08,4,3,1,2,0,2,0,0,0,0,0,0,0,0,0,12
hyperledger/governance,2024-09,13,10,3,4,3,4,0,0,0,0,0,0,0,0,0,37
hyperledger/governance,2024-10,32,26,14,3,13,6,1,0,1,0,0,0,0,0,0,96
hyperledger/governance,2024-11,10,7,4,1,4,2,0,0,0,0,0,0,0,0,0,28
hyperledger/governance,2024-12,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,3
hyperledger/governance,2025-01,22,14,9,7,9,4,2,0,0,0,0,0,0,0,0,67
hyperledger/governance,2025-02,7,4,2,0,4,0,0,0,0,0,0,0,0,0,0,17
hyperledger/governance,2025-03,2,2,1,0,1,1,0,0,0,0,0,0,0,0,0,7
hyperledger/governance,2025-04,8,6,5,0,5,0,0,0,0,0,0,0,0,0,0,24
hyperledger/governance,2025-05,2,2,0,1,1,1,0,0,0,0,0,0,0,0,0,7
hyperledger/governance,2025-06,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,4
hyperledger/governance,2025-07,6,3,2,0,2,2,0,0,0,0,0,0,0,0,0,15
hyperledger/governance,2025-08,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,4
hyperledger/governance,2025-09,2,1,0,0,1,1,0,0,0,0,0,0,0,0,0,5
hyperledger/governance,2025-10,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
hyperledger/governance,2025-11,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
hyperledger/governance,2025-12,3,1,3,0,1,1,0,0,0,0,0,0,0,0,0,9
hyperledger/governance,2026-01,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,3
hyperledger/governance,2026-02,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0,6
hyperledger/governance,2026-03,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,4
hyperledger/governance,2026-04,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
hyperledger-dlt-landscape/hyperledger-dlt-landscape,2023-04,33,22,12,1,18,4,0,0,0,0,0,0,0,0,0,90
hyperledger-dlt-landscape/hyperledger-dlt-landscape,2023-05,16,22,10,5,10,5,3,0,0,0,0,0,0,0,0,71
hyperledger-dlt-landscape/hyperledger-dlt-landscape,2023-06,20,11,4,0,14,5,0,0,0,0,0,0,0,0,0,54
hyperledger-dlt-landscape/hyperledger-dlt-landscape,2023-07,10,9,0,0,8,2,0,0,0,0,0,0,0,0,0,29
hyperledger-dlt-landscape/hyperledger-dlt-landscape,2023-08,9,9,7,0,4,2,0,0,0,0,0,0,0,0,0,31
hyperledger-dlt-landscape/hyperledger-dlt-landscape,2023-09,7,3,2,0,4,1,0,0,0,0,0,0,0,0,0,17
hyperledger-dlt-landscape/hyperledger-dlt-landscape,2023-10,4,2,0,3,4,1,1,0,0,0,0,0,0,0,0,15
hyperledger-dlt-landscape/hyperledger-dlt-landscape,2023-11,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4
