repo,month,PullRequestReviewEvent,PullRequestReviewCommentEvent,IssueCommentEvent,PullRequestEvent,PushEvent,IssuesEvent,DeleteEvent,CreateEvent,ReleaseEvent,WatchEvent,ForkEvent,GollumEvent,CommitCommentEvent,DiscussionEvent,MemberEvent,total
hyperledger/aries-framework-javascript,2023-06,11,3,22,11,8,3,1,0,0,0,0,0,0,0,0,59
hyperledger/aries-framework-javascript,2023-07,22,10,17,13,11,13,2,0,0,0,0,0,0,0,0,88
hyperledger/aries-framework-javascript,2023-08,16,18,11,13,7,1,1,0,0,0,0,0,0,0,0,67
hyperledger/aries-framework-javascript,2023-09,11,13,9,8,8,3,0,0,0,0,0,0,0,0,0,52
hyperledger/aries-framework-javascript,2023-10,20,17,16,6,7,1,3,0,0,0,0,0,0,0,0,70
hyperledger/aries-framework-javascript,2023-11,12,14,20,6,4,5,0,0,0,0,0,0,0,0,0,61
openwallet-foundation/credo-ts,2024-01,38,47,15,21,15,1,2,3,0,0,0,4,0,0,0,146
openwallet-foundation/credo-ts,2024-02,47,72,74,38,25,61,1,0,0,0,0,2,0,0,0,320
openwallet-foundation/credo-ts,2024-03,34,22,18,19,14,4,3,0,0,0,0,0,0,0,0,114
openwallet-foundation/credo-ts,2024-04,26,17,16,34,21,3,1,0,0,0,0,0,0,0,0,118
openwallet-foundation/credo-ts,2024-05,12,8,8,15,9,1,1,0,0,0,0,0,2,0,0,56
openwallet-foundation/credo-ts,2024-06,49,45,22,56,32,7,5,3,0,0,0,0,0,0,0,219
openwallet-foundation/credo-ts,2024-07,58,67,12,20,11,2,4,5,2,0,0,0,0,0,0,181
openwallet-foundation/credo-ts,2024-08,30,20,12,22,26,8,1,1,0,0,0,0,0,0,0,120
openwallet-foundation/credo-ts,2024-09,33,29,9,10,10,2,1,1,0,0,0,0,0,0,0,95
openwallet-foundation/credo-ts,2024-10,56,54,15,17,15,2,3,3,2,0,0,0,0,0,0,167
openwallet-foundation/credo-ts,2024-11,46,49,14,35,39,12,3,5,1,0,0,0,0,0,0,204
