repo,month,PullRequestReviewEvent,PullRequestEvent,IssueCommentEvent,PushEvent,IssuesEvent,PullRequestReviewCommentEvent,DeleteEvent,CreateEvent,ReleaseEvent,ForkEvent,CommitCommentEvent,WatchEvent,GollumEvent,total
hyperledger/cactus,2020-05,0,13,38,4,29,4,2,2,0,0,0,0,0,92
hyperledger/cactus,2020-06,0,37,25,23,23,15,5,5,0,0,0,0,0,133
hyperledger/cactus,2020-07,0,8,13,4,5,20,0,0,0,0,0,0,0,50
hyperledger/cactus,2020-08,0,19,22,21,21,15,3,3,0,0,0,0,0,104
hyperledger/cactus,2020-09,5,20,26,14,17,0,4,4,0,0,1,0,0,91
hyperledger/cactus,2020-10,17,22,46,18,35,7,3,0,0,0,0,0,0,148
hyperledger/cactus,2020-11,11,18,31,15,44,15,0,1,0,0,0,0,0,135
hyperledger/cactus,2020-12,25,34,21,56,38,28,4,6,1,0,0,0,0,213
hyperledger/cactus,2021-01,21,57,17,55,74,9,4,3,2,0,0,0,0,242
hyperledger/cactus,2021-02,65,14,26,20,30,56,1,1,0,0,0,0,0,213
hyperledger/cactus,2021-03,111,98,39,61,91,73,6,9,2,0,1,0,0,491
hyperledger/cactus,2021-04,89,94,82,58,63,39,3,5,3,0,0,0,0,436
hyperledger/cactus,2021-05,29,95,49,67,41,39,7,4,3,0,0,0,0,334
hyperledger/cactus,2021-06,107,62,58,48,28,102,3,0,0,0,1,0,0,409
hyperledger/cactus,2021-07,97,64,61,44,52,83,1,6,2,0,0,0,0,410
hyperledger/cactus,2021-08,76,51,46,30,38,80,3,5,2,0,2,0,0,333
hyperledger/cactus,2021-09,106,53,31,37,70,74,2,4,2,0,0,0,0,379
hyperledger/cactus,2021-10,53,13,34,17,13,18,0,1,1,0,0,0,0,150
hyperledger/cactus,2021-11,101,56,43,38,59,40,3,4,1,0,0,0,0,345
hyperledger/cactus,2021-12,126,49,66,47,40,68,3,3,1,0,1,0,0,404
hyperledger/cactus,2022-01,141,35,70,35,64,73,6,0,0,0,0,0,0,424
hyperledger/cactus,2022-02,110,41,22,41,35,23,6,1,0,0,0,0,0,279
hyperledger/cactus,2022-03,70,48,30,39,36,32,6,3,1,0,0,0,0,265
hyperledger/cactus,2022-04,78,30,35,18,21,34,1,0,0,0,0,0,0,217
hyperledger/cactus,2022-05,71,28,22,23,23,29,1,0,0,0,0,0,0,197
hyperledger/cactus,2022-06,5,3,10,36,6,2,1,1,0,0,0,0,0,64
hyperledger/cactus,2022-07,69,21,16,27,12,41,7,0,0,0,0,0,0,193
hyperledger/cactus,2022-08,21,6,3,6,4,9,2,0,0,0,0,0,0,51
hyperledger/cactus,2022-09,6,0,5,0,1,2,0,0,0,0,0,0,0,14
hyperledger/cactus,2022-10,17,4,12,2,3,24,2,4,0,0,0,0,0,68
hyperledger/cactus,2022-11,106,42,44,43,41,31,7,7,0,0,0,0,0,321
hyperledger/cactus,2022-12,32,15,11,12,11,12,4,3,4,0,0,0,0,104
hyperledger/cactus,2023-01,15,5,4,4,4,3,0,0,0,0,0,0,0,35
hyperledger/cacti,2023-02,13,8,4,6,7,11,1,0,0,0,0,0,0,50
hyperledger/cacti,2023-03,82,37,25,42,23,34,25,1,1,0,0,0,0,270
hyperledger/cacti,2023-04,42,20,19,14,28,10,3,0,0,0,0,0,0,136
hyperledger/cacti,2023-05,15,3,4,3,2,7,0,0,0,0,0,0,0,34
hyperledger/cacti,2023-06,82,40,37,30,23,17,11,0,0,0,0,0,0,240
hyperledger/cacti,2023-07,51,36,41,25,47,11,4,0,0,0,0,0,0,215
hyperledger/cacti,2023-08,67,69,63,40,81,15,7,0,0,0,0,0,0,342
hyperledger/cacti,2023-09,40,58,52,33,71,5,1,2,1,0,0,0,0,263
hyperledger/cacti,2023-10,70,71,87,64,47,3,13,0,0,0,1,0,0,356
hyperledger/cacti,2023-11,30,51,30,70,17,2,18,0,0,0,0,0,0,218
hyperledger/cacti,2023-12,68,48,16,86,6,11,27,0,0,0,2,0,0,264
hyperledger/cacti,2024-01,60,41,29,37,9,32,13,0,0,0,0,0,0,221
hyperledger/cacti,2024-02,36,30,33,24,18,10,2,0,0,0,0,0,0,153
hyperledger/cacti,2024-03,61,79,45,51,18,26,23,0,0,0,3,0,0,306
hyperledger/cacti,2024-04,43,37,17,29,4,9,4,0,0,0,0,0,0,143
hyperledger/cacti,2024-05,97,32,55,30,13,23,3,0,0,0,1,0,0,254
hyperledger/cacti,2024-06,77,77,45,46,9,32,3,3,1,0,0,0,0,293
hyperledger/cacti,2024-07,83,83,43,59,36,30,4,5,2,0,1,0,0,346
hyperledger/cacti,2024-08,66,24,39,23,17,36,3,0,0,0,0,0,0,208
hyperledger/cacti,2024-09,33,38,42,29,28,17,2,6,2,0,0,0,0,197
hyperledger/cacti,2024-10,6,13,16,13,5,1,3,3,1,0,0,0,0,61
hyperledger-cacti/cacti,2024-10,51,29,25,11,22,23,3,5,1,0,0,0,0,170
hyperledger-cacti/cacti,2024-11,71,17,35,15,18,54,0,0,0,0,0,0,0,210
hyperledger-cacti/cacti,2024-12,50,23,44,21,21,19,3,1,1,0,0,0,0,183
hyperledger-cacti/cacti,2025-01,10,5,9,4,9,1,0,0,0,0,0,0,0,38
hyperledger-cacti/cacti,2025-02,11,7,7,9,10,1,0,0,0,0,0,0,0,45
hyperledger-cacti/cacti,2025-03,16,21,12,18,22,3,2,0,0,0,0,0,0,94
hyperledger-cacti/cacti,2025-04,35,32,39,34,31,17,4,0,0,0,0,0,0,192
hyperledger-cacti/cacti,2025-05,10,3,7,4,1,0,1,0,0,0,0,0,0,26
