repo,month,PullRequestEvent,PushEvent,PullRequestReviewEvent,IssueCommentEvent,DeleteEvent,IssuesEvent,PullRequestReviewCommentEvent,CreateEvent,ReleaseEvent,ForkEvent,WatchEvent,total
hyperledger/fabric-gateway,2024-01,9,5,0,0,0,0,0,0,0,0,0,14
hyperledger/fabric-gateway,2024-02,13,5,1,3,0,3,0,0,0,0,0,25
hyperledger/fabric-gateway,2024-03,16,7,0,1,0,5,0,1,1,0,0,31
hyperledger/fabric-gateway,2024-04,9,3,0,4,0,2,0,1,1,0,0,20
hyperledger/fabric-gateway,2024-05,10,5,1,4,1,5,0,0,0,0,0,26
hyperledger/fabric-gateway,2024-06,15,6,0,2,0,1,0,0,0,0,0,24
hyperledger/fabric-gateway,2024-07,22,10,0,1,0,1,0,0,0,0,0,34
hyperledger/fabric-gateway,2024-08,9,4,0,0,0,0,0,0,0,0,0,13
hyperledger/fabric-gateway,2024-09,22,10,0,2,0,1,0,1,1,0,1,38
hyperledger/fabric-gateway,2024-10,21,10,0,1,0,0,0,1,1,0,0,34
hyperledger/fabric-gateway,2024-11,7,4,0,0,0,0,0,0,0,0,0,11
hyperledger/fabric-gateway,2024-12,5,2,0,2,0,0,0,1,1,0,0,11
hyperledger/fabric-gateway,2025-01,4,3,1,1,0,0,0,0,0,0,0,9
hyperledger/fabric-gateway,2025-02,5,3,2,3,0,0,0,0,0,0,0,13
hyperledger/fabric-gateway,2025-03,15,6,0,0,0,0,0,0,0,0,0,21
hyperledger/fabric-gateway,2025-04,7,3,1,0,0,0,0,0,0,0,0,11
hyperledger/fabric-gateway,2025-05,5,3,1,1,0,0,1,0,0,0,0,11
hyperledger/fabric-gateway,2025-06,29,15,17,0,16,1,0,0,0,0,0,78
hyperledger/fabric-gateway,2025-07,19,19,11,4,16,1,0,1,1,0,0,72
hyperledger/fabric-gateway,2025-08,9,16,17,1,14,0,8,0,0,0,0,65
hyperledger/fabric-gateway,2025-09,25,16,14,4,8,3,0,1,1,0,0,72
hyperledger/fabric-gateway,2025-10,5,10,8,0,4,0,0,0,0,0,0,27
hyperledger/fabric-gateway,2025-11,2,21,12,0,10,0,0,0,0,0,0,45
hyperledger/fabric-gateway,2025-12,1,8,7,1,13,0,0,0,0,0,0,30
hyperledger/fabric-gateway,2026-01,1,14,11,0,13,0,0,0,0,0,0,39
hyperledger/fabric-gateway,2026-02,3,11,5,0,10,1,1,0,0,0,0,31
hyperledger/fabric-gateway,2026-03,3,20,9,3,14,0,0,0,0,0,0,49
hyperledger/fabric-gateway,2026-04,1,7,5,0,9,0,0,0,0,0,0,22
hyperledger/fabric-gateway,2026-05,1,16,0,1,8,0,0,1,0,0,0,27
hyperledger/fabric-samples,2024-02,2,0,0,6,0,0,0,0,0,0,0,8
