repo,month,IssueCommentEvent,PullRequestEvent,PullRequestReviewEvent,PushEvent,IssuesEvent,PullRequestReviewCommentEvent,DeleteEvent,CreateEvent,ReleaseEvent,ForkEvent,CommitCommentEvent,WatchEvent,MemberEvent,total
hyperledger/aries-cloudagent-python,2019-06,0,0,0,0,0,0,0,0,0,1,0,0,0,1
hyperledger/aries-cloudagent-python,2019-07,32,12,0,5,16,0,0,0,0,1,1,1,0,68
hyperledger/aries-cloudagent-python,2019-08,16,12,0,11,3,0,0,0,0,0,0,0,0,42
hyperledger/aries-cloudagent-python,2019-09,35,10,0,8,20,0,0,0,0,0,0,0,0,73
hyperledger/aries-cloudagent-python,2019-10,15,6,0,3,7,0,0,0,0,0,0,0,0,31
hyperledger/aries-cloudagent-python,2019-11,11,7,0,7,6,0,0,0,0,1,0,0,0,32
hyperledger/aries-cloudagent-python,2019-12,17,6,0,5,5,0,0,0,0,0,0,0,0,33
hyperledger/aries-cloudagent-python,2020-01,37,3,0,3,15,0,0,0,0,0,0,0,0,58
hyperledger/aries-cloudagent-python,2020-02,37,15,0,12,9,0,0,0,0,0,0,0,0,73
hyperledger/aries-cloudagent-python,2020-03,22,14,0,10,15,4,0,0,0,0,0,0,0,65
hyperledger/aries-cloudagent-python,2020-04,19,10,0,6,3,4,0,1,1,0,1,0,0,45
hyperledger/aries-cloudagent-python,2020-05,29,1,0,0,7,0,0,0,0,0,0,0,0,37
hyperledger/aries-cloudagent-python,2020-06,10,2,0,1,2,0,0,0,0,0,0,0,0,15
hyperledger/aries-cloudagent-python,2020-07,20,3,0,3,9,0,0,0,0,0,0,0,0,35
hyperledger/aries-cloudagent-python,2020-08,12,3,0,3,4,0,0,0,0,0,0,0,0,22
hyperledger/aries-cloudagent-python,2020-09,15,1,1,1,15,0,0,0,0,0,0,0,0,33
hyperledger/aries-cloudagent-python,2020-10,14,2,7,2,3,1,0,0,0,0,0,0,0,29
hyperledger/aries-cloudagent-python,2020-11,8,1,0,0,2,0,0,0,0,0,0,0,0,11
hyperledger/aries-cloudagent-python,2020-12,9,0,4,0,1,0,0,0,0,0,0,0,0,14
hyperledger/aries-cloudagent-python,2021-01,4,0,0,0,3,0,0,0,0,0,0,0,0,7
hyperledger/aries-cloudagent-python,2021-02,21,19,10,6,1,6,0,0,0,1,0,0,0,64
hyperledger/aries-cloudagent-python,2021-03,20,1,5,1,1,5,0,0,0,0,0,0,0,33
hyperledger/aries-cloudagent-python,2021-04,15,1,0,1,3,0,0,0,0,0,0,0,0,20
hyperledger/aries-cloudagent-python,2021-05,33,2,4,2,11,0,0,0,0,0,0,0,0,52
