repo,month,PullRequestReviewEvent,PullRequestReviewCommentEvent,PushEvent,PullRequestEvent,DeleteEvent,IssuesEvent,CreateEvent,IssueCommentEvent,ForkEvent,DiscussionEvent,CommitCommentEvent,total
hiero-ledger/hiero-mirror-node,2025-02,57,23,29,32,26,14,8,6,0,0,0,195
hiero-ledger/hiero-mirror-node,2025-03,184,113,128,128,112,52,18,11,0,0,0,746
hiero-ledger/hiero-mirror-node,2025-04,169,69,130,138,118,68,31,14,1,0,0,738
hiero-ledger/hiero-mirror-node,2025-05,134,75,98,125,94,47,30,18,0,0,0,621
hiero-ledger/hiero-mirror-node,2025-06,89,69,45,47,53,31,11,7,0,0,0,352
hiero-ledger/hiero-mirror-node,2025-07,68,66,33,31,34,30,10,11,0,0,0,283
hiero-ledger/hiero-mirror-node,2025-08,66,54,59,59,45,27,13,15,0,0,0,338
hiero-ledger/hiero-mirror-node,2025-09,77,59,50,52,46,21,11,11,0,0,0,327
hiero-ledger/hiero-mirror-node,2025-10,58,75,44,50,42,33,12,11,0,0,0,325
hiero-ledger/hiero-mirror-node,2025-11,34,63,24,12,19,20,4,4,0,1,0,181
hiero-ledger/hiero-mirror-node,2025-12,51,80,61,36,48,16,6,8,0,0,0,306
hiero-ledger/hiero-mirror-node,2026-01,39,48,54,58,41,32,12,10,0,0,1,295
hiero-ledger/hiero-mirror-node,2026-02,47,67,37,34,38,23,7,1,0,1,0,255
hiero-ledger/hiero-mirror-node,2026-03,27,33,51,33,46,9,7,2,0,0,0,208
hiero-ledger/hiero-mirror-node,2026-04,21,19,56,14,35,13,8,5,0,0,0,171
hiero-ledger/hiero-mirror-node,2026-05,11,7,30,2,21,1,5,3,0,0,0,80
hiero-ledger/hiero-improvement-proposals,2025-04,1,0,0,0,0,0,0,0,0,0,0,1
hiero-ledger/hiero-improvement-proposals,2025-05,1,3,1,1,0,0,1,0,0,0,0,7
hiero-ledger/hiero-improvement-proposals,2025-06,2,0,0,0,0,0,0,0,0,0,0,2
hiero-ledger/hiero-improvement-proposals,2025-07,1,1,0,0,0,0,0,0,0,0,0,2
hiero-ledger/hiero-improvement-proposals,2025-08,1,7,0,0,0,0,0,0,0,0,0,8
hiero-ledger/hiero-improvement-proposals,2025-09,4,1,1,0,0,0,0,0,0,0,0,6
hiero-ledger/hiero-improvement-proposals,2025-10,2,1,0,0,0,0,0,0,0,0,0,3
hiero-ledger/hiero-improvement-proposals,2025-11,3,1,0,0,0,0,0,0,0,0,0,4
hiero-ledger/hiero-improvement-proposals,2025-12,0,4,0,0,0,0,0,0,0,0,0,4
hiero-ledger/hiero-improvement-proposals,2026-01,0,0,0,2,0,0,0,0,0,0,0,2
hiero-ledger/hiero-improvement-proposals,2026-03,2,2,2,0,0,0,1,0,0,0,0,7
hiero-ledger/hiero-consensus-node,2025-02,4,6,0,0,0,5,0,0,0,0,0,15
hiero-ledger/hiero-consensus-node,2025-04,2,2,0,0,0,0,0,1,0,0,0,5
hiero-ledger/hiero-consensus-node,2025-08,1,0,10,0,0,1,0,0,0,0,0,12
hiero-ledger/hiero-consensus-node,2025-09,1,0,0,0,0,1,0,0,0,0,0,2
hiero-ledger/hiero-consensus-node,2026-01,1,1,0,0,0,0,0,0,0,0,0,2
hiero-ledger/hiero-consensus-node,2026-02,1,0,0,0,0,0,0,0,0,0,0,1
hiero-ledger/hiero-consensus-node,2026-04,1,1,0,0,0,0,0,1,0,0,0,3
hiero-ledger/governance,2024-11,2,1,0,1,0,0,0,0,1,0,0,5
hiero-ledger/governance,2025-02,2,0,0,0,0,0,0,0,0,0,0,2
hiero-ledger/governance,2025-03,1,0,0,0,0,0,0,0,0,0,0,1
hiero-ledger/governance,2025-04,1,0,0,0,0,0,0,0,0,0,0,1
hiero-ledger/governance,2025-05,0,0,0,0,0,1,0,0,0,0,0,1
hiero-ledger/governance,2026-01,0,0,0,3,0,0,0,1,0,0,0,4
hiero-ledger/hiero-sdk-java,2025-04,0,0,0,0,0,1,0,0,0,0,0,1
hiero-ledger/hiero-sdk-java,2025-05,2,1,0,0,0,0,0,0,0,0,0,3
hiero-ledger/hiero-sdk-java,2025-09,2,1,0,0,0,0,0,0,0,0,0,3
hiero-ledger/hiero-mirror-node-explorer,2026-01,0,0,0,0,0,0,0,1,0,0,0,1
hiero-ledger/hiero-mirror-node-explorer,2026-02,1,0,0,0,0,2,0,0,0,0,0,3
hiero-ledger/solo,2025-04,0,0,0,0,0,0,0,1,0,0,0,1
hiero-ledger/solo,2026-01,0,0,0,0,0,0,0,2,0,0,0,2
hiero-ledger/solo,2026-05,0,0,0,0,0,0,0,1,0,0,0,1
LFDT-web3j/web3j-solidity-gradle-plugin,2025-07,0,1,0,0,0,1,0,0,0,0,0,2
LFDT-web3j/web3j-solidity-gradle-plugin,2025-12,1,0,0,0,0,0,0,0,0,0,0,1
hiero-ledger/.github,2025-02,0,0,0,1,0,0,0,0,1,0,0,2
hiero-ledger/.github,2025-05,0,1,0,0,0,0,0,0,0,0,0,1
hiero-ledger/tsc,2024-11,0,0,0,0,0,0,0,2,0,0,0,2
hiero-ledger/tsc,2025-12,0,0,0,0,0,1,0,0,0,0,0,1
hyperledger-web3j/web3j-gradle-plugin,2025-01,0,0,0,1,0,0,0,1,1,0,0,3
LFDT-web3j/web3j-build-tools,2025-07,0,0,0,1,0,0,0,0,0,0,0,1
LFDT-web3j/web3j-build-tools,2026-01,0,0,0,1,0,0,0,0,0,0,0,1
hyperledger-web3j/web3j-build-tools,2025-01,0,0,0,1,0,0,0,0,1,0,0,2
hyperledger/web3j-solidity-gradle-plugin,2024-05,0,0,0,1,0,0,0,0,0,0,0,1
hyperledger/web3j-solidity-gradle-plugin,2024-06,0,0,0,0,0,0,0,1,0,0,0,1
hiero-ledger/hiero-json-rpc-relay,2025-05,0,0,0,0,0,1,0,0,0,0,0,1
