repo,month,IssueCommentEvent,PullRequestReviewEvent,PullRequestEvent,PushEvent,PullRequestReviewCommentEvent,IssuesEvent,CreateEvent,DeleteEvent,ReleaseEvent,ForkEvent,MemberEvent,total
hyperledger/indy-node,2020-08,1,0,3,2,0,1,1,0,0,1,0,9
hyperledger/indy-node,2020-09,3,1,0,0,0,0,0,0,0,0,0,4
hyperledger/indy-node,2020-10,7,0,1,1,0,1,0,0,0,0,0,10
hyperledger/indy-node,2020-11,1,0,0,0,0,0,0,0,0,0,0,1
hyperledger/indy-node,2020-12,8,0,0,0,0,0,0,0,0,0,0,8
hyperledger/indy-node,2021-01,2,5,0,0,4,0,0,0,0,0,0,11
hyperledger/indy-node,2021-02,14,21,1,0,8,1,1,0,0,0,0,46
hyperledger/indy-node,2021-03,22,10,3,2,7,9,0,0,0,0,0,53
hyperledger/indy-node,2021-04,13,3,0,0,1,0,0,0,0,0,0,17
hyperledger/indy-node,2021-07,7,0,1,0,0,2,0,0,0,0,0,10
hyperledger/indy-node,2021-08,17,10,3,2,14,0,0,0,0,0,0,46
hyperledger/indy-node,2021-09,15,13,7,6,8,3,0,0,0,0,0,52
hyperledger/indy-node,2021-10,0,0,0,1,0,0,0,0,0,0,0,1
hyperledger/indy-node,2021-11,10,12,10,11,1,0,0,0,0,0,0,44
hyperledger/indy-node,2021-12,17,16,4,1,15,0,0,0,0,0,0,53
hyperledger/indy-node,2022-01,7,11,7,5,4,5,0,0,0,0,0,39
hyperledger/indy-node,2022-02,3,1,1,0,0,0,0,0,0,0,0,5
hyperledger/indy-node,2022-03,1,3,3,1,1,1,0,0,0,0,0,10
hyperledger/indy-node,2022-04,1,9,4,3,6,0,0,0,0,0,0,23
hyperledger/indy-node,2022-05,7,11,4,4,4,2,1,0,0,0,0,33
hyperledger/indy-node,2022-06,5,3,6,2,0,0,3,3,1,0,0,23
hyperledger/indy-node,2022-08,3,0,0,0,0,0,0,0,0,0,0,3
hyperledger/indy-node,2022-09,1,5,9,11,0,0,5,3,5,0,0,39
hyperledger/indy-node,2022-10,3,4,4,3,0,0,0,1,0,0,0,15
