repo,month,PullRequestEvent,PushEvent,CreateEvent,PullRequestReviewEvent,IssuesEvent,IssueCommentEvent,ForkEvent,PullRequestReviewCommentEvent,DeleteEvent,total
LF-Decentralized-Trust-labs/contributors-site,2025-09,38,24,20,0,0,2,1,0,0,85
LF-Decentralized-Trust-labs/contributors-site,2025-10,25,14,16,1,4,1,0,0,0,61
LF-Decentralized-Trust/contribute,2025-11,0,3,0,0,1,0,0,0,1,5
LF-Decentralized-Trust/contribute,2025-12,0,15,0,0,2,0,0,0,0,17
LF-Decentralized-Trust/governance,2025-02,0,0,0,1,0,0,0,1,0,2
LF-Decentralized-Trust/governance,2025-03,0,0,0,0,0,1,0,0,0,1
LF-Decentralized-Trust/governance,2025-04,0,1,0,0,0,0,0,0,0,1
LF-Decentralized-Trust/governance,2025-05,0,0,0,2,0,0,0,0,0,2
LF-Decentralized-Trust/governance,2025-06,0,0,0,1,0,0,0,0,0,1
LF-Decentralized-Trust/governance,2025-07,0,1,0,1,0,0,0,0,0,2
LF-Decentralized-Trust/governance,2025-08,0,0,0,1,0,1,0,0,0,2
LF-Decentralized-Trust/governance,2025-09,0,0,0,5,0,0,0,0,0,5
LF-Decentralized-Trust/governance,2025-11,0,0,0,1,0,0,0,0,0,1
LF-Decentralized-Trust/governance,2025-12,0,0,0,1,0,0,0,0,0,1
LF-Decentralized-Trust/governance,2026-02,0,0,0,1,0,0,0,1,0,2
hiero-ledger/hiero-website,2025-04,0,0,0,5,0,1,0,0,0,6
hiero-ledger/hiero-did-sdk-python,2025-02,3,0,2,0,0,0,0,0,0,5
hiero-ledger/tsc,2025-04,0,0,0,1,0,0,0,0,0,1
hiero-ledger/tsc,2025-06,0,0,0,0,0,0,1,0,0,1
hiero-ledger/tsc,2025-11,0,0,0,0,0,1,0,0,0,1
hiero-ledger/governance,2025-03,1,0,0,0,0,0,1,0,0,2
hiero-ledger/hiero,2025-02,0,0,0,0,0,0,1,0,0,1
hiero-ledger/hiero,2025-08,1,0,0,0,0,0,0,0,0,1
openwallet-foundation/tac,2025-11,0,0,0,0,2,0,0,0,0,2
LFDT-Hiero/tsc,2024-10,0,0,0,1,0,0,0,0,0,1
