repo,month,PullRequestEvent,PullRequestReviewEvent,IssueCommentEvent,PullRequestReviewCommentEvent,PushEvent,IssuesEvent,DeleteEvent,ForkEvent,WatchEvent,CreateEvent,ReleaseEvent,total
hyperledger/fabric-docs-i18n,2025-03,1,2,0,4,1,0,0,0,0,0,0,8
hyperledger/fabric-docs-i18n,2025-04,5,9,0,0,7,0,0,0,0,0,0,21
hyperledger/fabric,2019-12,2,0,0,2,0,0,0,2,0,0,0,6
hyperledger/fabric,2020-01,9,0,1,1,0,0,0,0,0,0,0,11
hyperledger/fabric,2020-04,1,0,0,0,0,0,0,0,0,0,0,1
hyperledger/fabric,2020-05,7,0,5,3,0,0,0,0,0,0,0,15
hyperledger/fabric,2020-06,3,0,0,0,0,0,0,0,0,0,0,3
hyperledger/fabric,2020-07,2,0,0,0,0,0,0,0,0,0,0,2
hyperledger/fabric,2021-02,1,0,1,0,0,0,0,0,1,0,0,3
hyperledger/fabric,2021-03,3,0,4,0,0,0,0,0,0,0,0,7
hyperledger/fabric,2021-09,3,1,0,1,0,0,0,0,0,0,0,5
hyperledger/fabric,2021-10,0,0,3,0,0,0,0,0,0,0,0,3
hyperledger/fabric,2021-11,1,0,4,0,0,0,0,0,0,0,0,5
hyperledger/fabric,2023-04,1,0,1,0,0,0,0,0,0,0,0,2
hyperledger/fabric,2023-07,0,0,1,0,0,0,0,0,0,0,0,1
hyperledger/fabric,2023-08,5,0,4,0,0,1,0,0,0,0,0,10
hyperledger/fabric,2023-09,2,1,5,0,0,2,0,0,0,0,0,10
hyperledger/fabric,2023-10,4,6,2,4,0,0,0,0,0,0,0,16
hyperledger/fabric,2023-12,0,2,1,0,0,1,0,0,0,0,0,4
hyperledger/fabric,2024-01,4,1,2,0,0,0,0,0,0,0,0,7
hyperledger/fabric,2024-02,5,3,5,1,0,0,0,0,0,0,0,14
hyperledger/fabric,2024-03,7,12,8,1,5,2,0,0,0,0,0,35
hyperledger/fabric,2024-04,12,14,5,3,10,3,0,0,0,1,0,48
hyperledger/fabric,2024-05,5,5,0,0,4,0,0,0,0,0,0,14
hyperledger/fabric,2024-06,3,2,0,0,2,0,0,0,0,0,0,7
hyperledger/fabric,2024-07,0,3,1,4,0,0,0,0,0,0,0,8
hyperledger/fabric,2024-08,1,5,3,3,1,1,0,0,0,0,0,14
hyperledger/fabric,2024-09,6,8,3,0,4,0,0,0,0,0,0,21
hyperledger/fabric,2024-10,2,4,1,2,2,1,0,0,0,0,0,12
hyperledger/fabric,2024-11,2,1,0,0,1,0,0,0,0,0,0,4
hyperledger/fabric,2025-01,1,1,1,0,0,0,0,0,0,0,0,3
hyperledger/fabric,2025-03,1,1,0,0,0,0,0,0,0,0,0,2
hyperledger/fabric,2025-04,2,2,0,0,2,0,0,0,0,0,0,6
hyperledger/fabric,2025-06,0,3,0,1,0,0,0,0,0,0,0,4
hyperledger/fabric,2025-07,1,1,0,0,0,0,0,0,0,0,0,2
hyperledger/fabric,2025-09,1,2,0,0,1,0,0,0,0,0,0,4
hyperledger/fabric,2025-10,1,1,0,0,0,0,0,0,0,0,0,2
hyperledger/fabric,2025-11,0,0,0,0,1,0,0,0,0,0,0,1
hyperledger/fabric,2025-12,0,0,0,0,1,0,0,0,0,0,0,1
hyperledger/fabric,2026-01,1,0,0,0,0,0,0,0,0,0,0,1
hyperledger/fabric,2026-02,0,1,0,0,1,0,0,0,0,0,0,2
hyperledger/fabric,2026-03,0,0,0,0,1,0,0,0,0,0,0,1
hyperledger/fabric-samples,2019-12,1,0,0,0,0,0,0,1,0,0,0,2
hyperledger/fabric-samples,2020-01,1,0,0,0,0,0,0,0,0,0,0,1
hyperledger/fabric-samples,2020-05,1,0,0,0,0,0,0,0,0,0,0,1
hyperledger/fabric-samples,2020-06,2,0,1,0,0,0,0,0,0,0,0,3
hyperledger/fabric-samples,2021-07,1,0,0,0,0,0,0,0,0,0,0,1
hyperledger/fabric-samples,2021-11,1,0,1,0,0,0,0,0,0,0,0,2
hyperledger/fabric-samples,2022-04,5,0,4,0,0,0,0,0,0,0,0,9
hyperledger/fabric-samples,2022-05,1,0,1,0,0,0,0,0,0,0,0,2
hyperledger/fabric-samples,2022-10,1,0,1,0,0,0,0,0,0,0,0,2
hyperledger/fabric-samples,2023-02,2,0,1,0,0,1,0,0,0,0,0,4
hyperledger/fabric-samples,2023-05,2,0,6,0,0,0,0,0,0,0,0,8
hyperledger/fabric-samples,2023-06,2,5,4,0,1,0,0,0,0,0,0,12
hyperledger/fabric-samples,2023-07,3,6,1,0,3,0,0,0,0,0,0,13
hyperledger/fabric-samples,2023-08,1,0,3,0,0,0,0,0,0,0,0,4
hyperledger/fabric-samples,2023-09,2,1,1,0,0,0,0,0,0,0,0,4
hyperledger/fabric-samples,2023-10,1,1,1,0,1,0,0,0,0,0,0,4
hyperledger/fabric-samples,2023-12,1,0,3,0,0,2,0,0,0,0,0,6
hyperledger/fabric-samples,2024-01,0,0,0,0,0,1,0,0,0,0,0,1
hyperledger/fabric-samples,2024-03,0,2,1,1,0,0,0,0,0,0,0,4
hyperledger/fabric-samples,2024-04,6,8,6,0,4,2,0,0,0,0,0,26
hyperledger/fabric-samples,2024-05,2,4,0,0,3,0,0,0,0,0,0,9
hyperledger/fabric-samples,2024-06,3,2,3,0,1,2,0,0,0,0,0,11
hyperledger/fabric-samples,2024-07,1,3,0,0,1,2,0,0,0,0,0,7
hyperledger/fabric-samples,2024-08,1,0,1,0,0,0,0,0,0,0,0,2
hyperledger/fabric-samples,2024-09,2,2,0,0,2,0,0,0,0,0,0,6
hyperledger/fabric-samples,2024-11,2,3,6,4,1,0,0,0,0,0,0,16
hyperledger/fabric-samples,2024-12,0,1,0,0,0,0,0,0,0,0,0,1
hyperledger/fabric-samples,2025-01,5,0,2,0,0,0,0,0,0,0,0,7
hyperledger/fabric-samples,2025-02,3,1,0,0,1,0,0,0,0,0,0,5
hyperledger/fabric-samples,2025-03,2,3,0,1,0,0,0,0,0,0,0,6
hyperledger/fabric-samples,2025-04,1,1,0,0,1,0,0,0,0,0,0,3
hyperledger/fabric-samples,2025-05,1,0,0,0,0,0,0,0,0,0,0,1
hyperledger/fabric-samples,2025-06,1,0,1,0,0,0,0,0,0,0,0,2
hyperledger/fabric-samples,2025-07,1,2,0,0,0,0,0,0,0,0,0,3
hyperledger/fabric-samples,2025-09,0,1,0,0,0,0,0,0,0,0,0,1
hyperledger/fabric-samples,2026-02,0,1,0,0,0,0,0,0,0,0,0,1
hyperledger-labs/fabric-opssc,2021-02,4,0,0,0,0,0,0,1,1,2,0,8
hyperledger-labs/fabric-opssc,2021-04,2,0,2,0,0,0,0,0,0,0,0,4
hyperledger-labs/fabric-opssc,2021-09,3,0,0,0,0,0,0,0,0,0,0,3
hyperledger-labs/fabric-opssc,2021-10,2,0,1,0,0,0,0,0,0,1,0,4
hyperledger-labs/fabric-opssc,2021-12,5,0,2,0,0,0,0,0,1,0,0,8
hyperledger-labs/fabric-opssc,2022-01,3,0,2,0,0,0,0,0,0,0,0,5
hyperledger-labs/fabric-opssc,2022-02,10,0,1,0,6,0,6,0,0,0,0,23
hyperledger-labs/fabric-opssc,2022-03,2,0,0,0,1,0,1,0,1,0,0,5
hyperledger-labs/fabric-opssc,2022-04,7,0,0,0,7,0,7,0,0,0,0,21
hyperledger-labs/fabric-opssc,2022-05,1,0,0,0,0,0,0,0,0,0,0,1
hyperledger-labs/fabric-opssc,2022-06,6,0,0,0,5,0,4,0,0,0,0,15
hyperledger-labs/fabric-opssc,2022-08,3,0,0,0,3,0,3,0,1,0,0,10
hyperledger-labs/fabric-opssc,2022-09,3,1,0,0,1,1,0,0,1,0,0,7
hyperledger-labs/fabric-opssc,2022-10,1,0,0,0,0,0,0,0,0,1,1,3
hyperledger-labs/fabric-opssc,2022-11,1,0,0,0,0,0,0,0,0,0,0,1
hyperledger-labs/fabric-opssc,2022-12,5,0,0,0,3,0,3,0,0,0,0,11
hyperledger-labs/fabric-opssc,2023-02,3,0,0,0,1,0,1,0,0,1,0,6
hyperledger-labs/fabric-opssc,2023-04,2,0,0,0,2,0,2,0,0,0,0,6
hyperledger-labs/fabric-opssc,2023-05,4,0,0,0,0,0,0,0,1,2,1,8
hyperledger-labs/fabric-opssc,2023-06,1,0,0,0,0,0,0,0,0,0,0,1
hyperledger-labs/fabric-opssc,2023-10,0,0,0,0,0,0,0,0,1,0,0,1
hyperledger-labs/fabric-opssc,2024-02,3,0,0,0,3,0,3,0,0,0,0,9
hyperledger-labs/fabric-opssc,2024-04,3,0,0,0,3,0,3,0,0,0,0,9
hyperledger-labs/fabric-opssc,2024-06,1,0,0,0,1,0,1,0,0,0,0,3
hyperledger-labs/fabric-opssc,2024-07,1,0,0,0,1,0,1,0,0,0,0,3
hyperledger-labs/fabric-opssc,2024-09,1,0,0,0,1,0,1,0,1,0,0,4
hyperledger-labs/fabric-opssc,2025-02,1,0,0,0,1,0,1,0,0,0,0,3
hyperledger-labs/blockchain-verifier,2020-04,1,0,1,0,1,0,0,0,0,0,0,3
hyperledger-labs/blockchain-verifier,2020-10,4,3,2,0,4,0,0,0,0,0,0,13
hyperledger-labs/blockchain-verifier,2021-02,3,3,1,0,3,0,0,0,0,0,0,10
hyperledger-labs/blockchain-verifier,2021-06,1,2,0,0,1,0,0,0,0,0,0,4
hyperledger-labs/blockchain-verifier,2021-07,2,3,0,0,2,0,0,0,0,0,0,7
hyperledger-labs/blockchain-verifier,2021-08,2,2,0,0,2,0,0,0,0,0,0,6
hyperledger-labs/blockchain-verifier,2021-10,0,0,0,0,1,0,0,0,0,0,0,1
hyperledger-labs/blockchain-verifier,2021-11,2,2,0,0,2,0,0,0,0,0,0,6
hyperledger-labs/blockchain-verifier,2022-04,1,1,0,0,1,0,0,0,0,0,0,3
hyperledger-labs/blockchain-verifier,2022-06,2,2,0,0,2,0,0,0,0,0,0,6
hyperledger-labs/blockchain-verifier,2022-08,1,3,0,1,1,0,0,0,0,0,0,6
hyperledger-labs/blockchain-verifier,2022-09,1,2,0,0,2,1,0,0,0,0,0,6
hyperledger-labs/blockchain-verifier,2022-11,1,1,0,0,1,0,0,0,0,0,0,3
hyperledger-labs/blockchain-verifier,2022-12,1,1,0,0,0,0,0,0,0,0,0,2
hyperledger-labs/blockchain-verifier,2023-03,2,2,0,0,2,0,0,0,0,0,0,6
hyperledger/fabric-protos,2020-01,1,0,0,0,0,0,0,1,0,0,0,2
hyperledger/fabric-protos,2020-02,0,0,1,0,0,0,0,0,0,0,0,1
hyperledger/fabric-protos,2020-03,0,0,1,0,0,0,0,0,0,0,0,1
hyperledger/fabric-protos,2020-04,0,0,1,0,0,0,0,0,0,0,0,1
hyperledger/fabric-protos,2020-05,0,0,1,0,0,0,0,0,0,0,0,1
hyperledger/fabric-protos,2023-09,1,0,2,0,0,0,0,0,0,0,0,3
hyperledger/fabric-protos,2023-12,1,1,1,1,0,0,0,0,0,0,0,4
hyperledger/fabric-config,2020-05,0,0,0,0,0,0,0,1,0,0,0,1
hyperledger/fabric-config,2020-10,6,0,2,0,0,0,0,0,0,0,0,8
hyperledger/fabric-config,2023-09,1,0,1,0,0,0,0,0,0,0,0,2
hyperledger-dlt-landscape/hyperledger-dlt-landscape,2023-05,0,0,0,0,0,0,0,1,0,0,0,1
hyperledger-dlt-landscape/hyperledger-dlt-landscape,2023-06,1,0,0,0,0,0,0,0,1,0,0,2
hyperledger-dlt-landscape/hyperledger-dlt-landscape,2023-07,1,0,0,0,0,0,0,0,0,0,0,1
hyperledger-dlt-landscape/hyperledger-dlt-landscape,2025-03,1,0,3,0,0,0,0,0,0,0,0,4
hyperledger-dlt-landscape/hyperledger-dlt-landscape,2025-04,1,0,1,0,0,0,0,0,0,0,0,2
hyperledger/fabric-rfcs,2023-08,0,0,1,0,0,0,0,1,0,0,0,2
hyperledger/fabric-rfcs,2023-09,0,0,1,0,0,0,0,0,0,0,0,1
hyperledger/fabric-rfcs,2023-12,0,0,1,0,0,0,0,0,0,0,0,1
hyperledger/fabric-rfcs,2024-10,0,1,0,0,0,0,0,0,0,0,0,1
hyperledger/fabric-rfcs,2024-11,0,0,2,0,0,0,0,0,0,0,0,2
hyperledger/fabric-rfcs,2024-12,0,1,0,0,0,0,0,0,0,0,0,1
hyperledger/fabric-rfcs,2025-05,0,0,1,0,0,0,0,0,0,0,0,1
hyperledger/fabric-rfcs,2025-06,0,0,1,0,0,0,0,0,0,0,0,1
hyperledger/fabric-sdk-node,2020-06,0,0,0,0,0,0,0,1,0,0,0,1
hyperledger/fabric-sdk-node,2020-11,4,0,0,0,0,0,0,0,0,0,0,4
hyperledger/fabric-sdk-node,2022-06,1,0,0,0,0,0,0,0,0,0,0,1
hyperledger/fabric-sdk-node,2022-11,2,0,1,0,0,0,0,0,0,0,0,3
hyperledger-labs/hyperledger-labs.github.io,2021-01,1,0,0,0,0,0,0,1,0,0,0,2
hyperledger-labs/hyperledger-labs.github.io,2021-02,0,0,3,0,0,0,0,0,1,0,0,4
hyperledger-labs/fabric-builder-k8s,2023-05,1,0,1,0,0,1,0,1,0,0,0,4
hyperledger/fabric-cli,2023-10,1,0,2,0,0,0,0,1,0,0,0,4
hyperledger/fabric-lib-go,2023-10,1,0,2,0,0,0,0,1,0,0,0,4
hyperledger/fabric-sdk-go,2020-06,0,0,0,0,0,0,0,1,0,0,0,1
hyperledger/fabric-sdk-go,2023-10,1,0,2,0,0,0,0,0,0,0,0,3
hyperledger/fabric-chaincode-go,2024-08,1,1,0,0,1,0,0,0,0,0,0,3
hyperledger-labs/fabric-operator,2022-06,0,0,0,0,0,0,0,0,1,0,0,1
hyperledger-labs/fabric-operator,2022-11,0,0,0,0,0,0,0,1,0,0,0,1
hyperledger/fabric-ca,2019-12,0,0,0,0,0,0,0,1,0,0,0,1
hyperledger/fabric-ca,2020-06,1,0,0,0,0,0,0,0,0,0,0,1
hyperledger-labs/blockchain-automation-framework,2020-03,0,0,0,0,0,0,0,1,0,0,0,1
hyperledger-labs/hlf-operator,2022-04,0,0,0,0,0,0,0,1,0,0,0,1
hyperledger/fabric-gateway,2024-01,0,0,0,0,0,0,0,1,0,0,0,1
hyperledger/fabric-gateway-java,2020-06,0,0,0,0,0,0,0,1,0,0,0,1
hyperledger/fabric-protos-go,2020-01,0,0,0,0,0,0,0,1,0,0,0,1
hyperledger/fabric-sdk-java,2020-05,0,0,0,0,0,0,0,1,0,0,0,1
