repo,month,PushEvent,PullRequestReviewEvent,PullRequestEvent,PullRequestReviewCommentEvent,DeleteEvent,IssuesEvent,CreateEvent,IssueCommentEvent,ReleaseEvent,ForkEvent,total
hyperledger-labs/fabric-token-sdk,2024-01,65,9,17,5,8,0,6,3,0,0,113
hyperledger-labs/fabric-token-sdk,2024-02,58,30,20,26,9,19,10,7,0,0,179
hyperledger-labs/fabric-token-sdk,2024-03,120,37,29,33,16,3,13,2,0,0,253
hyperledger-labs/fabric-token-sdk,2024-04,160,24,45,16,27,7,15,1,0,0,295
hyperledger-labs/fabric-token-sdk,2024-05,71,24,26,23,17,10,9,10,0,0,190
hyperledger-labs/fabric-token-sdk,2024-06,22,24,14,16,4,2,9,0,0,0,91
hyperledger-labs/fabric-token-sdk,2024-07,120,27,32,2,14,2,16,4,0,0,217
hyperledger-labs/fabric-token-sdk,2024-08,44,22,15,17,7,1,7,9,0,0,122
hyperledger-labs/fabric-token-sdk,2024-09,33,11,7,6,3,1,4,3,0,0,68
hyperledger-labs/fabric-token-sdk,2024-10,16,0,3,0,1,0,2,0,0,0,22
hyperledger-labs/fabric-token-sdk,2024-11,85,33,25,31,14,7,8,16,0,0,219
hyperledger-labs/fabric-token-sdk,2024-12,73,21,32,11,40,0,15,3,0,0,195
hyperledger-labs/fabric-token-sdk,2025-01,106,40,21,31,6,0,12,0,0,0,216
hyperledger-labs/fabric-token-sdk,2025-02,125,40,30,36,15,27,14,2,0,0,289
hyperledger-labs/fabric-token-sdk,2025-03,184,74,57,79,26,93,25,22,0,0,560
hyperledger-labs/fabric-token-sdk,2025-04,64,28,26,27,10,10,9,24,0,0,198
hyperledger-labs/fabric-token-sdk,2025-05,15,5,2,0,1,4,1,0,0,0,28
hyperledger-labs/fabric-token-sdk,2025-06,28,3,14,0,6,8,3,2,0,0,64
hyperledger-labs/fabric-token-sdk,2025-07,87,12,28,11,29,18,14,13,1,0,213
hyperledger-labs/fabric-token-sdk,2025-08,41,6,9,5,5,20,6,4,0,0,96
hyperledger-labs/fabric-token-sdk,2025-09,20,5,4,6,4,2,1,4,0,0,46
hyperledger-labs/fabric-token-sdk,2025-10,8,3,6,3,2,8,3,6,0,0,39
hyperledger-labs/fabric-token-sdk,2025-11,63,13,9,9,9,9,8,2,0,0,122
hyperledger-labs/fabric-token-sdk,2025-12,26,3,2,3,1,1,2,0,1,0,39
hyperledger-labs/fabric-token-sdk,2026-01,28,2,8,2,1,2,5,3,0,0,51
hyperledger-labs/fabric-token-sdk,2026-02,90,14,22,7,8,37,14,16,1,0,209
hyperledger-labs/fabric-token-sdk,2026-03,94,6,4,4,3,6,4,4,0,0,125
hyperledger-labs/fabric-token-sdk,2026-04,74,24,20,14,22,16,8,30,0,0,208
hyperledger-labs/fabric-token-sdk,2026-05,49,9,10,8,4,11,6,11,0,0,108
hyperledger-labs/fabric-smart-client,2024-01,2,2,2,0,1,0,0,0,0,0,7
hyperledger-labs/fabric-smart-client,2024-02,4,3,5,3,4,0,2,2,0,0,23
hyperledger-labs/fabric-smart-client,2024-03,16,2,8,0,4,0,2,1,0,0,33
hyperledger-labs/fabric-smart-client,2024-04,82,15,19,11,13,1,8,3,0,0,152
hyperledger-labs/fabric-smart-client,2024-05,15,11,12,5,4,0,5,0,0,0,52
hyperledger-labs/fabric-smart-client,2024-06,18,23,11,14,6,0,4,3,0,0,79
hyperledger-labs/fabric-smart-client,2024-07,78,41,18,22,7,0,10,3,0,0,179
hyperledger-labs/fabric-smart-client,2024-08,38,28,16,23,9,0,4,5,0,0,123
hyperledger-labs/fabric-smart-client,2024-09,32,18,16,5,2,2,4,10,0,0,89
hyperledger-labs/fabric-smart-client,2024-10,13,1,2,1,1,0,1,0,0,0,19
hyperledger-labs/fabric-smart-client,2024-11,18,1,13,0,6,4,7,6,0,0,55
hyperledger-labs/fabric-smart-client,2024-12,50,12,27,7,36,6,10,13,0,0,161
hyperledger-labs/fabric-smart-client,2025-01,22,9,9,0,3,0,4,0,0,0,47
hyperledger-labs/fabric-smart-client,2025-02,30,13,13,8,5,0,7,2,1,0,79
hyperledger-labs/fabric-smart-client,2025-03,15,11,9,7,3,5,3,3,0,0,56
hyperledger-labs/fabric-smart-client,2025-04,26,6,7,7,3,2,3,13,0,0,67
hyperledger-labs/fabric-smart-client,2025-05,5,12,5,4,4,2,0,5,0,0,37
hyperledger-labs/fabric-smart-client,2025-06,25,2,5,0,3,4,1,0,0,0,40
hyperledger-labs/fabric-smart-client,2025-07,31,17,12,11,16,35,4,30,0,0,156
hyperledger-labs/fabric-smart-client,2025-08,12,12,8,7,5,9,6,5,0,0,64
hyperledger-labs/fabric-smart-client,2025-09,3,4,3,1,1,1,1,1,0,0,15
hyperledger-labs/fabric-smart-client,2025-10,1,4,4,0,1,3,0,2,0,0,15
hyperledger-labs/fabric-smart-client,2025-11,10,4,7,1,3,9,1,1,0,0,36
hyperledger-labs/fabric-smart-client,2026-01,5,5,3,3,0,0,1,2,0,0,19
hyperledger-labs/fabric-smart-client,2026-02,5,3,1,0,1,3,0,2,0,0,15
hyperledger-labs/fabric-smart-client,2026-03,68,4,2,3,3,0,3,0,0,0,83
hyperledger-labs/fabric-smart-client,2026-04,13,3,3,6,2,1,1,1,0,0,30
hyperledger-labs/fabric-smart-client,2026-05,2,0,0,0,0,0,2,0,0,0,4
hyperledger-labs/governance,2025-02,0,0,0,0,0,1,0,0,0,0,1
hyperledger-labs/governance,2025-03,0,0,0,0,0,3,0,1,0,0,4
hyperledger-labs/governance,2025-05,0,0,0,0,0,1,0,0,0,0,1
hyperledger-labs/governance,2025-07,0,0,0,0,0,1,0,0,0,0,1
LF-Decentralized-Trust-Mentorships/mentorship-program,2026-03,0,0,0,0,0,1,0,0,0,0,1
LF-Decentralized-Trust-Mentorships/mentorship-program,2026-04,0,0,0,0,0,0,0,4,0,0,4
LF-Decentralized-Trust/project-proposals,2026-05,0,1,0,0,0,0,0,0,0,1,2
hyperledger/fabric-lib-go,2024-05,0,0,0,0,0,0,0,2,0,0,2
hyperledger/hyperledger-hip,2024-06,0,1,0,1,0,0,0,0,0,0,2
hyperledger-labs/blockchain-explorer,2024-06,0,0,0,0,0,1,0,0,0,0,1
hyperledger/fabric-samples,2024-12,0,0,0,0,0,0,0,1,0,0,1
hyperledger/fabric-x-common,2026-02,0,0,0,0,0,0,0,1,0,0,1
