repo,month,IssueCommentEvent,PullRequestEvent,PullRequestReviewEvent,PushEvent,PullRequestReviewCommentEvent,CreateEvent,IssuesEvent,DeleteEvent,ForkEvent,ReleaseEvent,total
hyperledger/indy-plenum,2024-01,0,0,0,0,0,0,1,0,0,0,1
hyperledger/indy-plenum,2024-02,11,11,4,8,0,1,1,2,0,0,38
hyperledger/indy-plenum,2024-03,0,0,1,0,0,0,0,1,0,0,2
hyperledger/indy-plenum,2024-04,7,4,3,1,1,1,0,0,0,0,17
hyperledger/indy-plenum,2024-05,5,5,1,1,0,0,0,0,0,0,12
hyperledger/indy-plenum,2024-06,6,3,3,2,0,1,1,1,0,0,17
hyperledger/indy-plenum,2024-07,1,0,1,1,0,0,0,0,0,0,3
hyperledger/indy-plenum,2024-09,0,5,2,1,0,0,0,0,0,0,8
hyperledger/indy-plenum,2024-10,0,4,0,0,0,0,0,0,0,0,4
hyperledger/indy-plenum,2024-11,0,5,1,1,0,0,0,1,0,0,8
hyperledger/indy-plenum,2024-12,0,4,1,0,0,0,0,0,0,0,5
hyperledger/indy-plenum,2025-01,0,3,0,0,0,0,0,0,0,0,3
hyperledger/indy-plenum,2025-02,5,5,9,1,6,0,2,1,0,0,29
hyperledger/indy-plenum,2025-03,2,5,5,0,2,0,0,0,0,0,14
hyperledger/indy-plenum,2025-04,6,3,1,0,0,0,0,0,0,0,10
hyperledger/indy-plenum,2025-05,0,3,0,0,0,0,0,0,0,0,3
hyperledger/indy-plenum,2025-06,0,3,0,0,0,0,0,0,0,0,3
hyperledger/indy-plenum,2025-07,0,1,0,0,0,0,0,0,0,0,1
hyperledger/indy-node,2024-01,1,1,0,0,0,0,1,0,0,0,3
hyperledger/indy-node,2024-02,23,12,2,5,0,3,2,4,0,0,51
hyperledger/indy-node,2024-03,15,2,1,2,0,0,1,1,0,0,22
hyperledger/indy-node,2024-04,1,1,0,0,0,0,1,0,0,0,3
hyperledger/indy-node,2024-05,10,8,1,0,0,0,0,0,0,0,19
hyperledger/indy-node,2024-06,3,0,0,0,0,1,0,0,0,0,4
hyperledger/indy-node,2024-07,1,0,0,0,0,0,0,0,0,0,1
hyperledger/indy-node,2024-08,0,1,0,0,0,0,0,0,0,0,1
hyperledger/indy-node,2024-09,1,4,0,0,0,0,0,0,0,0,5
hyperledger/indy-node,2024-10,0,5,0,0,0,0,0,0,0,0,5
hyperledger/indy-node,2024-11,0,6,1,1,0,0,0,1,0,0,9
hyperledger/indy-node,2024-12,0,5,2,0,0,0,0,0,0,0,7
hyperledger/indy-node,2025-01,0,4,2,0,0,0,1,0,0,0,7
hyperledger/indy-node,2025-02,11,11,7,4,2,0,2,0,0,0,37
hyperledger/aries-cloudagent-python,2024-01,8,2,5,1,1,0,0,0,0,0,17
