repo,month,PullRequestEvent,IssueCommentEvent,PushEvent,PullRequestReviewEvent,PullRequestReviewCommentEvent,IssuesEvent,CreateEvent,ReleaseEvent,WatchEvent,ForkEvent,DeleteEvent,GollumEvent,total
hyperledger/composer,2017-05,31,16,10,0,0,9,0,0,0,0,0,0,66
hyperledger/composer,2017-06,23,14,8,0,10,6,2,0,0,0,2,0,65
hyperledger/composer,2017-07,27,3,14,0,6,6,0,0,1,0,0,0,57
hyperledger/composer,2017-08,35,41,13,0,5,12,0,0,0,0,0,0,106
hyperledger/composer,2017-09,18,27,9,0,12,16,0,0,0,0,0,0,82
hyperledger/composer,2017-10,10,12,3,0,0,2,0,0,0,0,0,0,27
hyperledger/composer,2017-11,9,9,3,0,5,10,0,0,0,0,0,0,36
hyperledger/composer,2017-12,11,8,4,0,4,11,0,0,0,0,0,0,38
hyperledger/composer,2018-01,14,24,6,0,13,17,0,0,0,0,0,0,74
hyperledger/composer,2018-02,18,29,9,0,6,10,0,0,0,0,0,1,73
hyperledger/composer,2018-03,13,24,5,0,0,4,0,0,0,0,0,0,46
hyperledger/composer,2018-04,15,20,8,0,3,12,0,0,0,0,0,0,58
hyperledger/composer,2018-05,13,25,6,0,0,7,0,0,0,0,0,3,54
hyperledger/composer,2018-06,5,17,2,0,3,9,0,0,0,0,0,0,36
hyperledger/composer,2018-07,0,2,0,0,0,1,0,0,0,0,0,0,3
hyperledger/composer,2018-08,0,1,0,0,0,1,0,0,0,0,0,0,2
hyperledger/composer,2018-10,2,3,0,0,0,2,0,0,0,0,0,0,7
hyperledger/composer,2018-11,3,0,1,0,0,0,0,0,0,0,0,0,4
hyperledger-labs/fabric-builder-k8s,2022-07,4,1,1,0,0,1,1,1,1,1,0,0,11
hyperledger-labs/fabric-builder-k8s,2022-08,7,1,4,0,0,2,2,2,0,0,0,0,18
hyperledger-labs/fabric-builder-k8s,2022-09,3,4,1,1,0,4,0,0,0,0,0,0,13
hyperledger-labs/fabric-builder-k8s,2022-10,4,0,2,0,0,0,1,1,0,0,0,0,8
hyperledger-labs/fabric-builder-k8s,2022-11,8,2,4,0,0,1,4,4,0,0,0,0,23
hyperledger-labs/fabric-builder-k8s,2022-12,1,1,0,0,0,1,0,0,0,0,0,0,3
hyperledger-labs/fabric-builder-k8s,2023-01,12,4,4,0,0,7,1,1,0,0,0,0,29
hyperledger-labs/fabric-builder-k8s,2023-02,2,1,1,0,0,2,0,0,0,0,0,0,6
hyperledger-labs/fabric-builder-k8s,2023-04,0,0,0,0,0,1,0,0,0,0,0,0,1
hyperledger-labs/fabric-builder-k8s,2023-05,3,3,2,4,0,4,0,1,0,0,0,0,17
hyperledger-labs/fabric-builder-k8s,2023-07,0,1,0,0,0,0,0,0,0,0,0,0,1
hyperledger-labs/fabric-builder-k8s,2023-08,0,1,0,0,0,0,0,0,0,0,0,0,1
hyperledger-labs/fabric-builder-k8s,2023-10,0,1,0,0,0,0,0,0,0,0,0,0,1
hyperledger-labs/fabric-builder-k8s,2024-01,1,1,0,0,0,1,0,0,0,0,0,0,3
hyperledger-labs/fabric-builder-k8s,2024-02,1,8,0,0,0,3,0,0,0,0,0,0,12
hyperledger-labs/fabric-builder-k8s,2024-03,5,5,1,5,7,1,1,1,0,0,0,0,26
hyperledger-labs/fabric-builder-k8s,2024-04,8,4,3,3,2,3,0,0,0,0,0,0,23
hyperledger-labs/fabric-builder-k8s,2024-05,14,6,8,0,0,7,2,1,0,0,1,0,39
hyperledger-labs/fabric-builder-k8s,2024-06,13,4,11,0,0,1,2,1,0,0,0,0,32
hyperledger-labs/fabric-builder-k8s,2024-07,3,1,3,0,0,2,0,0,0,0,0,0,9
hyperledger-labs/fabric-builder-k8s,2024-08,10,0,6,0,0,1,3,0,0,0,0,0,20
hyperledger-labs/fabric-builder-k8s,2024-09,20,8,17,0,0,1,0,0,0,0,0,0,46
hyperledger-labs/fabric-builder-k8s,2024-10,11,6,10,0,0,0,1,0,0,0,0,0,28
hyperledger-labs/fabric-builder-k8s,2024-11,18,3,12,0,0,7,0,0,0,0,0,0,40
hyperledger-labs/fabric-builder-k8s,2024-12,13,6,10,0,0,3,1,0,0,0,0,0,33
hyperledger-labs/fabric-builder-k8s,2025-01,12,3,12,8,0,0,0,0,0,0,0,0,35
hyperledger-labs/fabric-builder-k8s,2025-02,15,8,9,3,0,2,2,2,0,0,0,0,41
hyperledger-labs/fabric-builder-k8s,2025-03,19,4,18,12,0,0,0,0,0,0,0,0,53
hyperledger-labs/fabric-builder-k8s,2025-04,8,5,7,4,0,1,0,0,0,0,0,0,25
hyperledger-labs/fabric-builder-k8s,2025-05,4,3,5,2,0,0,0,0,0,0,0,0,14
hyperledger-labs/fabric-builder-k8s,2025-06,12,5,7,5,0,2,0,0,0,0,0,0,31
hyperledger-labs/fabric-builder-k8s,2025-07,4,2,4,4,0,1,0,0,0,0,0,0,15
hyperledger-labs/fabric-builder-k8s,2025-08,3,2,4,2,0,0,0,0,0,0,0,0,11
hyperledger-labs/fabric-builder-k8s,2025-09,4,4,3,2,0,0,0,0,0,0,0,0,13
hyperledger-labs/fabric-builder-k8s,2025-10,3,1,3,2,0,0,0,0,0,0,0,0,9
hyperledger-labs/fabric-builder-k8s,2025-11,0,1,6,2,0,0,0,0,0,0,0,0,9
hyperledger-labs/fabric-builder-k8s,2025-12,8,3,6,1,0,0,0,0,0,0,0,0,18
hyperledger-labs/fabric-builder-k8s,2026-01,0,0,3,1,0,0,0,0,0,0,0,0,4
hyperledger-labs/fabric-builder-k8s,2026-02,1,1,2,0,0,0,0,0,0,0,0,0,4
hyperledger-labs/fabric-builder-k8s,2026-03,0,4,5,0,0,0,0,0,0,0,0,0,9
hyperledger-labs/fabric-builder-k8s,2026-04,0,0,3,0,0,0,0,0,0,0,0,0,3
hyperledger-labs/fabric-builder-k8s,2026-05,0,0,1,0,0,0,0,0,0,0,0,0,1
hyperledger/fabric-chaincode-java,2019-04,0,0,0,0,0,0,0,0,0,1,0,0,1
hyperledger/fabric-chaincode-java,2019-11,37,1,20,0,20,0,1,0,0,0,0,0,79
hyperledger/fabric-chaincode-java,2019-12,10,0,4,0,11,0,0,0,0,0,0,0,25
hyperledger/fabric-chaincode-java,2020-01,10,1,9,0,11,0,0,0,0,0,0,0,31
hyperledger/fabric-chaincode-java,2020-02,2,0,2,0,0,0,0,0,0,0,0,0,4
hyperledger/fabric-chaincode-java,2020-03,4,0,4,0,0,0,0,0,0,0,0,0,8
hyperledger/fabric-chaincode-java,2020-04,17,5,3,0,0,0,1,0,0,0,0,0,26
hyperledger/fabric-chaincode-java,2020-05,1,0,1,0,7,0,0,0,0,0,0,0,9
hyperledger/fabric-chaincode-java,2020-06,2,0,0,0,0,0,0,0,0,0,0,0,2
hyperledger/fabric-chaincode-java,2020-07,7,1,4,0,1,0,0,0,0,0,0,0,13
hyperledger/fabric-chaincode-java,2020-08,0,0,0,3,3,0,0,0,0,0,0,0,6
hyperledger/fabric-chaincode-java,2020-09,0,0,0,4,1,0,0,0,0,0,0,0,5
hyperledger/fabric-chaincode-java,2020-10,9,0,6,6,2,0,2,2,0,0,1,0,28
hyperledger/fabric-chaincode-java,2020-11,8,0,3,1,0,0,2,1,0,0,0,0,15
hyperledger/fabric-chaincode-java,2021-01,12,1,3,3,1,0,0,0,0,0,0,0,20
hyperledger/fabric-chaincode-java,2021-03,1,2,1,2,0,0,0,0,0,0,0,0,6
hyperledger/fabric-chaincode-java,2021-05,0,0,0,2,0,0,0,0,0,0,0,0,2
hyperledger/fabric-chaincode-java,2021-06,1,0,1,1,0,0,0,0,0,0,0,0,3
hyperledger/fabric-chaincode-java,2021-07,1,0,1,1,0,0,0,0,0,0,0,0,3
hyperledger/fabric-chaincode-java,2021-08,1,0,1,1,0,0,0,0,0,0,0,0,3
hyperledger/fabric-chaincode-java,2021-09,0,1,0,1,0,0,0,0,0,0,0,0,2
hyperledger/fabric-chaincode-java,2021-10,0,0,1,0,0,0,0,0,0,0,0,0,1
hyperledger/fabric-chaincode-java,2021-11,0,0,0,1,0,0,0,0,0,0,0,0,1
hyperledger/fabric-chaincode-java,2021-12,3,9,2,3,0,1,0,0,0,0,0,0,18
hyperledger/fabric-chaincode-java,2022-01,1,1,1,1,0,1,0,0,0,0,0,0,5
hyperledger/fabric-chaincode-java,2022-02,1,0,1,1,0,0,0,0,0,0,0,0,3
